location,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694
timestamp,max,min,mean
20100906T0000,91.0,55.0,72.666664
20100907T0000,93.0,80.0,87.416664
20100908T0000,95.0,56.0,78.458336
20100909T0000,94.0,64.0,76.541664
20100910T0000,92.0,61.0,76.375
20100911T0000,89.0,52.0,69.583336
20100912T0000,93.0,54.0,72.541664
20100913T0000,91.0,56.0,72.0
20100914T0000,89.0,54.0,69.833336
20100915T0000,97.0,58.0,76.791664
20100916T0000,92.0,56.0,73.916664
20100917T0000,90.0,56.0,70.666664
20100918T0000,91.0,52.0,73.041664
20100919T0000,91.0,54.0,69.791664
20100920T0000,85.0,56.0,68.333336
20100921T0000,89.0,57.0,70.833336
20100922T0000,88.0,56.0,71.791664
20100923T0000,88.0,54.0,70.125
20100924T0000,94.0,49.0,83.333336
20100925T0000,92.0,73.0,82.166664
20100926T0000,90.0,68.0,78.833336
20100927T0000,94.0,64.0,78.125
20100928T0000,94.0,56.0,75.958336
20100929T0000,82.0,61.0,71.916664
20100930T0000,93.0,78.0,86.875
20101001T0000,91.0,56.0,75.166664
20101002T0000,92.0,61.0,73.916664
20101003T0000,94.0,57.0,75.25
20101004T0000,94.0,54.0,73.666664
20101005T0000,91.0,65.0,78.291664
20101006T0000,93.0,61.0,76.875
20101007T0000,86.0,60.0,72.875
20101008T0000,87.0,62.0,77.0
20101009T0000,93.0,65.0,78.333336
20101010T0000,92.0,55.0,71.833336
20101011T0000,94.0,59.0,78.875
20101012T0000,96.0,63.0,81.541664
20101013T0000,95.0,64.0,84.25
20101014T0000,96.0,71.0,87.208336
20101015T0000,94.0,67.0,81.916664
20101016T0000,94.0,78.0,86.583336
20101017T0000,96.0,72.0,87.375
20101018T0000,96.0,68.0,84.416664
20101019T0000,90.0,65.0,80.708336
20101020T0000,90.0,74.0,83.166664
20101021T0000,95.0,61.0,77.25
20101022T0000,92.0,62.0,72.458336
20101023T0000,95.0,58.0,76.291664
20101024T0000,91.0,70.0,81.0
20101025T0000,96.0,60.0,81.375
20101026T0000,95.0,64.0,85.333336
20101027T0000,81.0,58.0,67.0
20101028T0000,78.0,51.0,63.0
