timestamp,max,min,mean
19851105T0000,99.0,66.0,87.0
19851106T0000,99.0,71.0,87.333336
19851107T0000,100.0,69.0,87.583336
19851108T0000,100.0,67.0,91.791664
19851109T0000,100.0,80.0,97.166664
19851110T0000,100.0,82.0,90.875
19851111T0000,100.0,51.0,74.125
19851112T0000,90.0,57.0,73.333336
19851113T0000,98.0,57.0,79.5
19851114T0000,98.0,81.0,90.375
19851115T0000,99.0,63.0,84.416664
19851116T0000,97.0,59.0,81.958336
19851117T0000,99.0,65.0,84.5
19851118T0000,94.0,68.0,82.083336
19851119T0000,100.0,55.0,80.166664
19851120T0000,95.0,76.0,88.708336
19851121T0000,94.0,75.0,88.125
19851122T0000,95.0,78.0,89.791664
19851123T0000,97.0,76.0,87.5
19851124T0000,95.0,71.0,87.625
19851125T0000,97.0,77.0,90.208336
19851126T0000,95.0,68.0,87.125
19851127T0000,95.0,71.0,88.166664
19851128T0000,98.0,82.0,92.875
19851129T0000,100.0,86.0,95.375
19851130T0000,100.0,93.0,98.083336
19851201T0000,100.0,80.0,94.75
19851202T0000,100.0,76.0,93.083336
19851203T0000,100.0,68.0,93.125
19851204T0000,100.0,70.0,92.666664
19851205T0000,97.0,61.0,84.916664
19851206T0000,96.0,76.0,86.375
19851207T0000,93.0,59.0,79.166664
19851208T0000,97.0,74.0,90.375
19851209T0000,97.0,72.0,89.125
19851210T0000,99.0,74.0,87.416664
19851211T0000,100.0,76.0,89.875
19851212T0000,95.0,73.0,86.833336
19851213T0000,95.0,59.0,80.875
19851214T0000,96.0,72.0,85.666664
19851215T0000,99.0,79.0,91.875
19851216T0000,98.0,73.0,91.375
19851217T0000,98.0,58.0,86.083336
19851218T0000,97.0,77.0,89.708336
19851219T0000,95.0,78.0,89.583336
19851220T0000,100.0,73.0,89.458336
19851221T0000,97.0,45.0,73.041664
19851222T0000,95.0,51.0,75.458336
19851223T0000,98.0,77.0,90.416664
19851224T0000,98.0,73.0,87.666664
19851225T0000,98.0,80.0,91.458336
19851226T0000,100.0,72.0,87.583336
19851227T0000,99.0,71.0,89.083336
19851228T0000,100.0,94.0,96.958336
19851229T0000,97.0,82.0,91.041664
19851230T0000,95.0,77.0,90.375
19851231T0000,95.0,75.0,89.166664
19860101T0000,93.0,65.0,83.416664
19860102T0000,100.0,93.0,97.333336
19860103T0000,100.0,66.0,92.125
19860104T0000,99.0,60.0,84.666664
19860105T0000,100.0,71.0,87.375
19860106T0000,96.0,85.0,92.541664
19860107T0000,100.0,72.0,89.0
19860108T0000,97.0,80.0,91.0
19860109T0000,99.0,82.0,93.75
19860110T0000,98.0,77.0,91.5
19860111T0000,99.0,94.0,97.458336
19860112T0000,98.0,79.0,92.541664
19860113T0000,100.0,96.0,98.125
19860114T0000,100.0,91.0,96.5
19860115T0000,98.0,91.0,94.458336
19860116T0000,98.0,88.0,95.25
19860117T0000,96.0,80.0,87.583336
19860118T0000,100.0,80.0,90.541664
19860119T0000,100.0,87.0,96.666664
19860120T0000,100.0,74.0,92.458336
19860121T0000,100.0,70.0,90.791664
19860122T0000,98.0,73.0,89.666664
19860123T0000,100.0,83.0,92.5
19860124T0000,99.0,78.0,89.083336
19860125T0000,96.0,93.0,95.0
19860126T0000,98.0,78.0,90.916664
19860127T0000,100.0,76.0,90.291664
19860128T0000,97.0,85.0,91.25
19860129T0000,100.0,81.0,92.25
19860130T0000,100.0,82.0,92.875
19860131T0000,99.0,89.0,94.875
19860201T0000,100.0,85.0,95.0
19860202T0000,97.0,91.0,95.625
19860203T0000,97.0,84.0,93.25
19860204T0000,97.0,83.0,93.041664
19860205T0000,97.0,80.0,91.791664
19860206T0000,95.0,76.0,88.0
19860207T0000,95.0,85.0,91.541664
19860208T0000,90.0,80.0,86.375
19860209T0000,90.0,74.0,83.708336
19860210T0000,92.0,70.0,86.416664
19860211T0000,94.0,86.0,90.041664
19860212T0000,100.0,88.0,93.208336
19860213T0000,96.0,91.0,93.291664
19860214T0000,99.0,80.0,91.291664
19860215T0000,97.0,79.0,90.5
19860216T0000,97.0,79.0,91.583336
19860217T0000,97.0,83.0,92.75
19860218T0000,97.0,93.0,95.541664
19860219T0000,94.0,80.0,89.541664
19860220T0000,96.0,71.0,89.75
19860221T0000,96.0,77.0,92.291664
19860222T0000,96.0,75.0,87.166664
19860223T0000,98.0,93.0,95.25
19860224T0000,95.0,82.0,89.833336
19860225T0000,93.0,76.0,88.5
19860226T0000,94.0,85.0,90.125
19860227T0000,95.0,71.0,88.0
19860228T0000,94.0,87.0,91.833336
19860301T0000,100.0,92.0,96.041664
19860302T0000,98.0,93.0,95.541664
19860303T0000,97.0,93.0,95.083336
19860304T0000,97.0,84.0,91.916664
19860305T0000,100.0,98.0,99.416664
19860306T0000,100.0,100.0,100.0
19860307T0000,100.0,96.0,97.75
19860308T0000,99.0,92.0,96.208336
19860309T0000,97.0,90.0,94.75
19860310T0000,98.0,88.0,93.958336
19860311T0000,98.0,80.0,90.875
19860312T0000,96.0,80.0,89.666664
19860313T0000,100.0,57.0,83.708336
19860314T0000,97.0,57.0,83.125
19860315T0000,100.0,72.0,88.083336
19860316T0000,100.0,56.0,83.666664
19860317T0000,98.0,54.0,81.958336
19860318T0000,97.0,51.0,79.583336
19860319T0000,100.0,68.0,89.041664
19860320T0000,100.0,61.0,84.041664
19860321T0000,100.0,72.0,86.625
19860322T0000,100.0,54.0,81.458336
19860323T0000,100.0,84.0,94.625
19860324T0000,100.0,74.0,93.125
19860325T0000,99.0,66.0,84.416664
19860326T0000,100.0,70.0,86.458336
19860327T0000,100.0,77.0,89.541664
19860328T0000,100.0,59.0,88.041664
19860329T0000,100.0,68.0,87.083336
19860330T0000,97.0,59.0,83.416664
19860331T0000,98.0,72.0,89.208336
19860401T0000,100.0,59.0,83.75
19860402T0000,100.0,54.0,85.416664
19860403T0000,100.0,84.0,93.458336
19860404T0000,95.0,53.0,75.125
19860405T0000,95.0,51.0,72.291664
19860406T0000,100.0,64.0,86.833336
19860407T0000,100.0,54.0,81.791664
19860408T0000,98.0,61.0,85.291664
19860409T0000,98.0,61.0,85.0
19860410T0000,96.0,78.0,88.666664
19860411T0000,96.0,67.0,85.083336
19860412T0000,95.0,66.0,79.25
19860413T0000,91.0,32.0,61.25
19860414T0000,94.0,47.0,69.541664
19860415T0000,100.0,35.0,65.208336
19860416T0000,100.0,72.0,86.166664
19860417T0000,100.0,86.0,93.625
19860418T0000,100.0,50.0,80.75
19860419T0000,100.0,63.0,82.375
19860420T0000,99.0,80.0,91.125
19860421T0000,100.0,56.0,85.333336
19860422T0000,100.0,90.0,95.083336
19860423T0000,100.0,54.0,82.125
19860424T0000,100.0,67.0,90.708336
19860425T0000,100.0,67.0,87.416664
19860426T0000,100.0,54.0,85.583336
19860427T0000,100.0,54.0,80.625
19860428T0000,100.0,58.0,80.833336
19860429T0000,100.0,93.0,97.416664
19860430T0000,100.0,89.0,97.625
19860501T0000,100.0,71.0,92.375
19860502T0000,100.0,46.0,86.125
19860503T0000,100.0,55.0,85.75
19860504T0000,100.0,66.0,87.333336
19860505T0000,100.0,49.0,80.125
19860506T0000,100.0,63.0,83.75
19860507T0000,100.0,57.0,85.5
19860508T0000,100.0,47.0,78.5
19860509T0000,100.0,58.0,81.333336
19860510T0000,100.0,53.0,79.208336
19860511T0000,99.0,59.0,83.041664
19860512T0000,98.0,57.0,82.291664
19860513T0000,100.0,65.0,91.708336
19860514T0000,99.0,82.0,92.375
19860515T0000,100.0,57.0,85.458336
19860516T0000,98.0,67.0,87.666664
19860517T0000,100.0,64.0,84.75
19860518T0000,100.0,56.0,82.583336
19860519T0000,100.0,65.0,86.333336
19860520T0000,100.0,64.0,84.25
19860521T0000,100.0,80.0,93.041664
19860522T0000,100.0,60.0,85.375
19860523T0000,100.0,58.0,83.75
19860524T0000,100.0,73.0,90.875
19860525T0000,100.0,54.0,80.791664
19860526T0000,100.0,55.0,80.25
19860527T0000,100.0,72.0,93.958336
19860528T0000,100.0,89.0,96.333336
19860529T0000,100.0,68.0,82.666664
19860530T0000,100.0,72.0,86.541664
19860531T0000,100.0,45.0,73.458336
19860601T0000,100.0,41.0,70.875
19860602T0000,100.0,69.0,92.666664
19860603T0000,100.0,53.0,79.875
19860604T0000,95.0,69.0,87.541664
19860605T0000,100.0,70.0,83.041664
19860606T0000,100.0,54.0,78.583336
19860607T0000,100.0,58.0,79.666664
19860608T0000,97.0,64.0,76.666664
19860609T0000,100.0,48.0,74.583336
19860610T0000,99.0,48.0,73.625
19860611T0000,96.0,65.0,84.208336
19860612T0000,98.0,72.0,87.166664
19860613T0000,99.0,65.0,89.958336
19860614T0000,100.0,87.0,95.5
19860615T0000,100.0,59.0,81.833336
19860616T0000,100.0,54.0,81.125
19860617T0000,100.0,75.0,89.791664
19860618T0000,98.0,89.0,93.375
19860619T0000,100.0,69.0,88.875
19860620T0000,100.0,64.0,85.875
19860621T0000,100.0,57.0,81.25
19860622T0000,98.0,55.0,82.458336
19860623T0000,99.0,57.0,83.75
19860624T0000,100.0,60.0,82.125
19860625T0000,100.0,57.0,82.041664
19860626T0000,100.0,50.0,77.791664
19860627T0000,100.0,49.0,77.666664
19860628T0000,100.0,44.0,75.583336
19860629T0000,100.0,54.0,78.416664
19860630T0000,99.0,55.0,80.333336
19860701T0000,100.0,52.0,80.458336
19860702T0000,99.0,45.0,73.916664
19860703T0000,100.0,68.0,84.791664
19860704T0000,99.0,56.0,79.291664
19860705T0000,100.0,48.0,79.166664
19860706T0000,98.0,78.0,90.375
19860707T0000,98.0,79.0,88.875
19860708T0000,95.0,63.0,77.541664
19860709T0000,94.0,73.0,85.791664
19860710T0000,96.0,62.0,78.458336
19860711T0000,99.0,75.0,84.875
19860712T0000,96.0,65.0,82.791664
19860713T0000,99.0,55.0,78.458336
19860714T0000,98.0,47.0,75.958336
19860715T0000,100.0,58.0,79.166664
19860716T0000,100.0,53.0,81.0
19860717T0000,97.0,52.0,77.833336
19860718T0000,99.0,83.0,94.416664
19860719T0000,96.0,69.0,83.708336
19860720T0000,98.0,68.0,84.958336
19860721T0000,100.0,52.0,77.208336
19860722T0000,97.0,47.0,73.166664
19860723T0000,98.0,41.0,76.166664
19860724T0000,96.0,55.0,79.458336
19860725T0000,88.0,49.0,67.083336
19860726T0000,89.0,59.0,74.25
19860727T0000,100.0,57.0,79.416664
19860728T0000,100.0,55.0,77.083336
19860729T0000,94.0,45.0,70.375
19860730T0000,100.0,50.0,71.958336
19860731T0000,93.0,49.0,76.083336
19860801T0000,95.0,54.0,77.083336
19860802T0000,97.0,49.0,70.625
19860803T0000,100.0,49.0,72.208336
19860804T0000,95.0,52.0,75.458336
19860805T0000,97.0,60.0,78.875
19860806T0000,100.0,57.0,75.5
19860807T0000,94.0,53.0,70.5
19860808T0000,100.0,49.0,69.125
19860809T0000,90.0,43.0,67.375
19860810T0000,95.0,64.0,81.708336
19860811T0000,96.0,59.0,77.75
19860812T0000,96.0,71.0,87.208336
19860813T0000,100.0,52.0,71.916664
19860814T0000,88.0,42.0,65.083336
19860815T0000,95.0,44.0,73.791664
19860816T0000,100.0,52.0,73.916664
19860817T0000,91.0,50.0,73.291664
19860818T0000,97.0,52.0,77.625
19860819T0000,98.0,81.0,88.291664
19860820T0000,96.0,60.0,80.25
19860821T0000,100.0,48.0,74.583336
19860822T0000,89.0,43.0,65.708336
19860823T0000,98.0,58.0,81.708336
19860824T0000,97.0,83.0,89.125
19860825T0000,95.0,53.0,73.833336
19860826T0000,89.0,40.0,68.333336
19860827T0000,87.0,54.0,68.583336
19860828T0000,88.0,56.0,70.458336
19860829T0000,92.0,56.0,73.708336
19860830T0000,95.0,51.0,70.291664
19860831T0000,98.0,47.0,69.666664
19860901T0000,100.0,51.0,71.0
19860902T0000,86.0,50.0,67.0
19860903T0000,94.0,52.0,72.916664
19860904T0000,97.0,58.0,77.875
19860905T0000,100.0,50.0,75.541664
19860906T0000,100.0,50.0,72.416664
19860907T0000,92.0,55.0,73.041664
19860908T0000,100.0,54.0,76.833336
19860909T0000,94.0,63.0,79.833336
19860910T0000,100.0,75.0,84.25
19860911T0000,97.0,56.0,80.958336
19860912T0000,100.0,84.0,95.791664
19860913T0000,96.0,72.0,87.166664
19860914T0000,95.0,82.0,91.541664
19860915T0000,97.0,43.0,67.791664
19860916T0000,96.0,60.0,85.791664
19860917T0000,99.0,89.0,94.25
19860918T0000,98.0,83.0,92.916664
19860919T0000,96.0,65.0,78.625
19860920T0000,100.0,59.0,79.791664
19860921T0000,93.0,57.0,77.5
19860922T0000,100.0,55.0,79.0
19860923T0000,100.0,48.0,75.75
19860924T0000,98.0,73.0,84.666664
19860925T0000,97.0,65.0,82.166664
19860926T0000,98.0,53.0,77.458336
19860927T0000,100.0,52.0,74.916664
19860928T0000,100.0,56.0,78.083336
19860929T0000,100.0,51.0,77.75
19860930T0000,100.0,60.0,83.458336
19861001T0000,97.0,47.0,72.958336
19861002T0000,95.0,39.0,68.333336
19861003T0000,100.0,44.0,74.791664
19861004T0000,100.0,53.0,81.875
19861005T0000,97.0,50.0,78.958336
19861006T0000,100.0,51.0,81.041664
19861007T0000,97.0,69.0,84.958336
19861008T0000,100.0,59.0,81.041664
19861009T0000,97.0,68.0,86.0
19861010T0000,100.0,53.0,76.75
19861011T0000,94.0,53.0,73.166664
19861012T0000,99.0,54.0,80.666664
19861013T0000,100.0,47.0,72.75
19861014T0000,82.0,44.0,65.708336
19861015T0000,95.0,63.0,81.541664
19861016T0000,100.0,57.0,81.833336
19861017T0000,99.0,58.0,82.875
19861018T0000,97.0,56.0,80.166664
19861019T0000,97.0,72.0,90.083336
19861020T0000,94.0,78.0,85.375
19861021T0000,91.0,51.0,74.25
19861022T0000,100.0,76.0,88.5
19861023T0000,100.0,63.0,81.25
19861024T0000,95.0,56.0,75.708336
19861025T0000,95.0,65.0,80.583336
19861026T0000,99.0,70.0,85.083336
19861027T0000,99.0,46.0,77.333336
19861028T0000,99.0,48.0,72.125
19861029T0000,100.0,77.0,90.75
19861030T0000,97.0,77.0,91.416664
19861031T0000,100.0,49.0,77.375
19861101T0000,100.0,72.0,90.833336
19861102T0000,96.0,78.0,89.708336
19861103T0000,97.0,79.0,89.666664
19861104T0000,94.0,58.0,78.5
19861105T0000,92.0,50.0,74.5
19861106T0000,94.0,65.0,82.416664
19861107T0000,99.0,68.0,85.041664
19861108T0000,99.0,58.0,86.25
19861109T0000,98.0,64.0,86.541664
19861110T0000,100.0,56.0,83.875
19861111T0000,97.0,56.0,80.041664
19861112T0000,93.0,50.0,75.541664
19861113T0000,94.0,53.0,79.208336
19861114T0000,96.0,56.0,79.666664
19861115T0000,93.0,51.0,76.083336
19861116T0000,90.0,54.0,75.875
